,experiment_name,step,sequence_size,checkpoint_path,psnr,ssim,lpips,num_rays_per_sec,fps
30,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,31000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000031000.ckpt,13.421080589294434,0.6575060486793518,0.40927448868751526,78522.6171875,0.08520249277353287
31,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,32000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000032000.ckpt,13.286317825317383,0.6497746109962463,0.4096199572086334,80487.7109375,0.08733475208282471
32,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,33000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000033000.ckpt,13.329713821411133,0.6522307991981506,0.4095716178417206,79604.671875,0.0863765999674797
33,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,34000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000034000.ckpt,13.299638748168945,0.6499486565589905,0.41016098856925964,78635.8046875,0.08532530814409256
34,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,35000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000035000.ckpt,12.874267578125,0.6182418465614319,0.41336333751678467,79162.25,0.08589654415845871
35,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,36000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000036000.ckpt,12.759422302246094,0.6104081273078918,0.41388583183288574,77712.484375,0.0843234434723854
36,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,37000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000037000.ckpt,12.711288452148438,0.6064223051071167,0.4131849408149719,77580.765625,0.08418051898479462
37,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,38000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000038000.ckpt,12.855070114135742,0.6221286654472351,0.4133531153202057,78028.71875,0.08466657996177673
38,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,39000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000039000.ckpt,12.972800254821777,0.6323378086090088,0.4116871953010559,78329.234375,0.0849926620721817
39,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,40000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000040000.ckpt,13.085860252380371,0.6426602005958557,0.4111418128013611,78705.59375,0.0854010358452797
